index,City,Date,CardType,ExpType,Gender,Amount,CumulativeSpends
23647,"Hyderabad, India","2013-10-04 00:00:00",Gold,Food,F,80058,3414108
22828,"Kolkata, India","2013-10-04 00:00:00",Gold,Fuel,F,46039,3414108
23691,"Chennai, India","2013-10-04 00:00:00",Gold,Grocery,M,27511,3414108
24005,"Chennai, India","2013-10-04 00:00:00",Gold,Fuel,F,76211,3414108
19086,"Thane, India","2013-10-04 00:00:00",Gold,Entertainment,F,259372,3414108
17398,"Fatehpur Sikri, India","2013-10-04 00:00:00",Gold,Grocery,M,188578,3414108
17663,"Nowgong, India","2013-10-04 00:00:00",Gold,Fuel,M,33784,3414108
18278,"Sultanganj, India","2013-10-04 00:00:00",Gold,Entertainment,M,131374,3414108
7201,"Greater Mumbai, India","2013-10-04 00:00:00",Gold,Entertainment,M,201942,3414108
6931,"Bengaluru, India","2013-10-04 00:00:00",Gold,Fuel,F,236037,3414108
16390,"Sawai Madhopur, India","2013-10-04 00:00:00",Gold,Fuel,F,215148,3414108
15975,"Terdal, India","2013-10-04 00:00:00",Gold,Grocery,F,64001,3414108
15118,"Phalodi, India","2013-10-04 00:00:00",Gold,Entertainment,M,139361,3414108
141,"Greater Mumbai, India","2013-10-04 00:00:00",Gold,Bills,F,990700,3414108
1612,"Delhi, India","2013-10-04 00:00:00",Gold,Grocery,M,125616,3414108
1866,"Ahmedabad, India","2013-10-04 00:00:00",Gold,Entertainment,F,78098,3414108
1521,"Delhi, India","2013-10-04 00:00:00",Gold,Food,M,281924,3414108
9427,"Bengaluru, India","2013-10-04 00:00:00",Gold,Fuel,F,29929,3414108
8365,"Delhi, India","2013-10-04 00:00:00",Gold,Entertainment,M,208425,3414108
17290,"Soron, India","2013-10-05 00:00:00",Gold,Food,F,253631,4770891
5338,"Bengaluru, India","2013-10-05 00:00:00",Gold,Entertainment,M,264301,4770891
20937,"Kanpur, India","2013-10-05 00:00:00",Gold,Bills,F,19658,4770891
20868,"Pune, India","2013-10-05 00:00:00",Gold,Food,M,236710,4770891
20904,"Chennai, India","2013-10-05 00:00:00",Gold,Bills,F,32874,4770891
21569,"Lucknow, India","2013-10-05 00:00:00",Gold,Entertainment,M,131148,4770891
12743,"Bengaluru, India","2013-10-05 00:00:00",Gold,Grocery,F,171087,4770891
14536,"Hansi, India","2013-10-05 00:00:00",Gold,Grocery,M,79974,4770891
15871,"Ramnagar, India","2013-10-05 00:00:00",Gold,Entertainment,M,167400,4770891
16444,"Kharagpur, India","2013-10-06 00:00:00",Gold,Grocery,F,215506,6225822
20457,"Lucknow, India","2013-10-06 00:00:00",Gold,Entertainment,F,71412,6225822
16689,"Sawai Madhopur, India","2013-10-06 00:00:00",Gold,Bills,F,225186,6225822
25202,"Surat, India","2013-10-06 00:00:00",Gold,Food,F,175081,6225822
25855,"Hyderabad, India","2013-10-06 00:00:00",Gold,Travel,F,83660,6225822
11736,"Delhi, India","2013-10-06 00:00:00",Gold,Grocery,F,62430,6225822
11564,"Ahmedabad, India","2013-10-06 00:00:00",Gold,Food,M,125804,6225822
13831,"Delhi, India","2013-10-06 00:00:00",Gold,Food,M,189094,6225822
2103,"Ahmedabad, India","2013-10-06 00:00:00",Gold,Fuel,M,265492,6225822
747,"Bengaluru, India","2013-10-06 00:00:00",Gold,Food,F,41266,6225822
16798,"Tharad, India","2013-10-07 00:00:00",Gold,Bills,M,118136,7430410
16372,"Tumsar, India","2013-10-07 00:00:00",Gold,Grocery,M,63818,7430410
14519,"Nashik, India","2013-10-07 00:00:00",Gold,Bills,M,114458,7430410
10127,"Bengaluru, India","2013-10-07 00:00:00",Gold,Bills,F,53126,7430410
8346,"Delhi, India","2013-10-07 00:00:00",Gold,Grocery,F,100142,7430410
21267,"Hyderabad, India","2013-10-07 00:00:00",Gold,Fuel,F,103991,7430410
2901,"Bengaluru, India","2013-10-07 00:00:00",Gold,Bills,F,186328,7430410
5495,"Bengaluru, India","2013-10-07 00:00:00",Gold,Bills,M,152070,7430410
13580,"Bengaluru, India","2013-10-07 00:00:00",Gold,Bills,M,47228,7430410
7041,"Delhi, India","2013-10-07 00:00:00",Gold,Bills,F,94821,7430410
25091,"Chennai, India","2013-10-07 00:00:00",Gold,Food,M,170470,7430410
21208,"Kanpur, India","2013-10-08 00:00:00",Gold,Entertainment,F,220014,9130708
17839,"Nellore, India","2013-10-08 00:00:00",Gold,Grocery,F,198455,9130708
25025,"Kanpur, India","2013-10-08 00:00:00",Gold,Food,F,18621,9130708
2442,"Ahmedabad, India","2013-10-08 00:00:00",Gold,Fuel,M,60020,9130708
10151,"Bengaluru, India","2013-10-08 00:00:00",Gold,Fuel,M,118249,9130708
8730,"Bengaluru, India","2013-10-08 00:00:00",Gold,Bills,M,18782,9130708
16237,"Kancheepuram, India","2013-10-08 00:00:00",Gold,Grocery,M,123713,9130708
15715,"Jorhat, India","2013-10-08 00:00:00",Gold,Entertainment,F,224801,9130708
14545,"Talaja, India","2013-10-08 00:00:00",Gold,Fuel,F,33623,9130708
6947,"Bengaluru, India","2013-10-08 00:00:00",Gold,Grocery,F,222744,9130708
3000,"Bengaluru, India","2013-10-08 00:00:00",Gold,Fuel,M,156732,9130708
12925,"Ahmedabad, India","2013-10-08 00:00:00",Gold,Food,F,87268,9130708
11838,"Greater Mumbai, India","2013-10-08 00:00:00",Gold,Entertainment,F,188378,9130708
13021,"Delhi, India","2013-10-08 00:00:00",Gold,Entertainment,F,28898,9130708
13218,"Bengaluru, India","2013-10-09 00:00:00",Gold,Bills,M,242790,11757769
