City,highest_expense_type,lowest_expense_type
"Delhi, India",Grocery,Bills
"Greater Mumbai, India",Grocery,Bills
"Bengaluru, India",Grocery,Bills
"Ahmedabad, India",Grocery,Bills
"Markapur, India",Grocery,Bills
"Mavoor, India",Grocery,Bills
"Sillod, India",Grocery,Bills
"Nainital, India",Grocery,Bills
"Laharpur, India",Fuel,Bills
"Shenkottai, India",Grocery,Bills
"Neyveli (TS), India",Grocery,Bills
"Kapadvanj, India",Fuel,Bills
"Arambagh, India",Grocery,Entertainment
"Thana Bhawan, India",Grocery,Entertainment
"Kancheepuram, India",Grocery,Bills
"Sojat, India",Grocery,Entertainment
"Karjat, India",Fuel,Entertainment
"Mohali, India",Grocery,Bills
"Narayanpet, India",Food,Bills
"Bhavnagar, India",Food,Entertainment
"Viluppuram, India",Grocery,Bills
"Jamalpur, India",Grocery,Bills
"Udaipurwati, India",Grocery,Bills
"Palanpur, India",Fuel,Bills
"Muzaffarpur, India",Grocery,Bills
"Taranagar, India",Grocery,Bills
"Ambikapur, India",Fuel,Bills
"Mundi, India",Grocery,Bills
"Padrauna, India",Grocery,Bills
"Vijayapura, India",Grocery,Bills
"Vrindavan, India",Grocery,Bills
"Byasanagar, India",Grocery,Bills
"Mudhol, India",Grocery,Bills
"Sohna, India",Grocery,Bills
"Pune, India",Travel,Bills
"Lakheri, India",Grocery,Bills
"Jehanabad, India",Grocery,Bills
"Shegaon, India",Grocery,Bills
"Shikarpur Bulandshahr, India",Grocery,Bills
"Dalli-Rajhara, India",Grocery,Bills
"Mapusa, India",Grocery,Food
"Uthamapalayam, India",Grocery,Entertainment
"Nasirabad, India",Grocery,Bills
"Kapurthala, India",Grocery,Entertainment
"Anand, India",Grocery,Bills
"Arwal, India",Grocery,Bills
"Nanded-Waghala, India",Grocery,Entertainment
"Nilambur, India",Grocery,Bills
"Anjar, India",Grocery,Food
"Hubli-Dharwad, India",Grocery,Bills
"Jind, India",Grocery,Bills
"Koratla, India",Grocery,Bills
"Chalakudy, India",Entertainment,Entertainment
"Lahar, India",Fuel,Bills
"Ramanathapuram, India",Grocery,Entertainment
"Brahmapur, India",Grocery,Bills
"Rahuri, India",Grocery,Bills
"Hindupur, India",Grocery,Entertainment
"Ponnani, India",Grocery,Bills
"Rajpipla, India",Grocery,Bills
"Pattukkottai, India",Grocery,Bills
"Tenali, India",Grocery,Bills
"Aizawl, India",Grocery,Entertainment
"Raayachuru, India",Food,Bills
"Tura, India",Fuel,Bills
"Srivilliputhur, India",Grocery,Bills
"Siana, India",Grocery,Bills
"Nepanagar, India",Grocery,Bills
"Nagaon, India",Grocery,Bills
"Oddanchatram, India",Grocery,Bills
"Zira, India",Grocery,Bills
"Dhuri, India",Fuel,Bills
"Kalyan-Dombivali, India",Grocery,Bills
"Mahuva, India",Grocery,Bills
"Punch, India",Grocery,Entertainment
"Rajampet, India",Grocery,Bills
"Mandvi, India",Grocery,Bills
"Nahan, India",Grocery,Bills
"Shahdol, India",Grocery,Bills
"Kochi, India",Grocery,Bills
"Neemuch, India",Fuel,Bills
"Shahabad, India",Fuel,Bills
"Mancherial, India",Grocery,Bills
"Sirhind Fatehgarh Sahib, India",Grocery,Bills
"Surat, India",Travel,Bills
"Zaidpur, India",Food,Bills
"Malout, India",Food,Bills
"Pipar City, India",Fuel,Bills
"Khambhat, India",Grocery,Entertainment
"Rabkavi Banhatti, India",Fuel,Entertainment
"Balaghat, India",Grocery,Bills
"Raghunathganj, India",Grocery,Bills
"Ramdurg, India",Grocery,Bills
"Imphal, India",Grocery,Bills
"Raigarh, India",Grocery,Bills
"Rajapalayam, India",Grocery,Entertainment
"Mattannur, India",Grocery,Bills
"Narwana, India",Fuel,Fuel
"Akot, India",Grocery,Entertainment
"Udaipur, India",Grocery,Bills
"Murwara (Katni), India",Grocery,Bills
"Cuttack, India",Food,Bills
"Warora, India",Grocery,Bills
"Tiruchendur, India",Grocery,Bills
"Kasaragod, India",Food,Bills
"Vyara, India",Grocery,Bills
"Periyasemur, India",Grocery,Bills
"Nandivaram-Guduvancheri, India",Fuel,Bills
"Madhubani, India",Grocery,Bills
"Yellandu, India",Grocery,Bills
"Umbergaon, India",Food,Bills
"Nimbahera, India",Grocery,Entertainment
"Seoni, India",Grocery,Entertainment
"Ambejogai, India",Grocery,Bills
"Mokokchung, India",Grocery,Bills
"Shahade, India",Grocery,Bills
"Pithoragarh, India",Grocery,Entertainment
"Maner, India",Grocery,Bills
"Firozabad, India",Grocery,Grocery
"Kollam, India",Grocery,Bills
"Jalandhar, India",Grocery,Bills
"Barpeta, India",Fuel,Bills
"Raurkela, India",Grocery,Bills
"Limbdi, India",Grocery,Bills
"Mokameh, India",Grocery,Bills
"Taki, India",Entertainment,Bills
"Kaithal, India",Grocery,Bills
"Medinipur, India",Grocery,Bills
"Erode, India",Grocery,Bills
"Mahemdabad, India",Grocery,Entertainment
"Sawai Madhopur, India",Fuel,Bills
"Malpura, India",Grocery,Bills
"Samastipur, India",Grocery,Bills
"Jagdalpur, India",Grocery,Bills
"Achalpur, India",Grocery,Bills
"Ahmednagar, India",Grocery,Entertainment
"Shikohabad, India",Grocery,Bills
"Mungeli, India",Grocery,Food
"Udhampur, India",Fuel,Bills
"Thiruvananthapuram, India",Grocery,Bills
"Padra, India",Grocery,Bills
"Losal, India",Food,Bills
"Singrauli, India",Grocery,Bills
"Naugawan Sadat, India",Grocery,Bills
"Dimapur, India",Grocery,Bills
"Sindhagi, India",Grocery,Bills
"Palakkad, India",Grocery,Bills
"Peddapuram, India",Grocery,Fuel
"Rewa, India",Grocery,Bills
