CardType,ExpType,MaxMonthlyGrowth
Gold,Bills,21.2006
Gold,Entertainment,4.4603
Gold,Food,18.0078
Gold,Fuel,34.0716
Gold,Grocery,39.4047
Gold,Travel,4.4136
Platinum,Bills,64.8890
Platinum,Entertainment,120.3928
Platinum,Food,33.5583
Platinum,Fuel,31.5404
Platinum,Grocery,3.4872
Platinum,Travel,0.7775
Signature,Bills,14.2544
Signature,Entertainment,10.2384
Signature,Food,18.4919
Signature,Fuel,86.7708
Signature,Grocery,122.8077
Signature,Travel,4.2427
Silver,Bills,260.4545
Silver,Entertainment,40.2960
Silver,Food,76.9864
Silver,Fuel,38.5997
Silver,Grocery,11.2532
Silver,Travel,14.4322
