,Credit_card,Product_ID,P_CATEGORY,CONDTION,Brand,Price ,Selling_price,Coupon_ID,Date,Time,GTIN,MPN,Merchant_name,M_ID,Payment Method,Transaction ID,Return_ind,Return_date,Discount,Value,Day_of_Week,Month
9,5974.0,470,LUGGAGE,Used,TNVON,4783.25,4764.25,ER876,2014-09-23,05:13:44,4604782,832455526,REI,EI6775,Credit card,28877,1,2014-09-30,19.0,High,Tuesday,September
28,7979.0,389,CLOTHING,New,GTFFL,3747.69,3704.69,JL124,2014-01-17,13:11:00,2948611,793611328,Guitar Center,GN4079,Credit card,88335,1,2014-01-24,43.0,High,Friday,January
48,8532.0,544,APPLIANCES,Used,BUDLO,2135.85,2085.85,WR271,2014-04-27,21:07:55,7286957,436997432,The Vitamin Shoppe,HW9976,Mobile carrier Billing,73080,1,2014-05-04,50.0,Low,Sunday,April
73,6502.0,662,BABY CLOTHING,New,CTAOI,4658.93,4609.93,JJ698,2014-10-03,21:17:54,5570207,303879646,Peninsula Beauty,YE5901,Mobile carrier Billing,10537,1,2014-10-10,49.0,High,Friday,October
101,4139.0,534,DECOR,Refurbished,ZACKV,4981.73,4942.73,FU981,2014-09-29,21:56:13,1166080,907961267,Ulta,UO9656,Mobile carrier Billing,40788,1,2014-10-06,39.0,High,Monday,September
126,3199.0,484,OFFICE SUPPLIES,Used,WELZA,2205.71,2171.71,GH952,2014-02-16,23:19:29,3121131,531347974,Peninsula Beauty,YE5901,Prepaid card,44491,1,2014-02-23,34.0,Low,Sunday,February
147,2744.0,702,APPLIANCES,Refurbished,BUDLO,4042.54,4027.54,DK976,2014-02-04,22:33:44,9312971,656405085,REI,EI6773,Mobile carrier Billing,47896,1,2014-02-11,15.0,High,Tuesday,February
164,1256.0,198,KITCHEN & DINING,Refurbished,RGMIK,3643.75,3607.75,FZ702,2014-02-04,04:12:56,9325792,494780983,Nine West,RM9837,Mobile carrier Billing,78874,1,2014-02-11,36.0,High,Tuesday,February
180,4852.0,765,DECOR,New,ZACKV,4557.18,4329.321,MN886,2014-11-07,02:25:17,3611553,874309658,Costco,GW8247,Mobile carrier Billing,99544,1,2014-11-14,227.85900000000038,High,Friday,November
199,1960.0,931,BEDDING,New,CJUEU,4083.1,4033.1,TQ434,2014-11-24,00:13:52,2352569,729230884,Walgreens,VW7192,Mobile carrier Billing,86975,1,2014-12-01,50.0,High,Monday,November
217,9210.0,931,LUGGAGE,Used,CENQJ,334.55,313.55,DG925,2014-01-28,04:55:59,3177195,535512736,Peninsula Beauty,YE5901,Mobile carrier Billing,72858,1,2014-02-04,21.0,Low,Tuesday,January
